PLN_AREA_N,Food
PASIR RIS,0.125
MANDAI,0.004807692
OUTRAM,0.456730769
MARINA SOUTH,0.052884615
STRAITS VIEW,0
CHANGI,0.798076923
SEMBAWANG,0.129807692
JURONG EAST,0.355769231
PIONEER,0.033653846
BOON LAY,0.278846154
BUKIT MERAH,0.519230769
WESTERN WATER CATCHMENT,0
ANG MO KIO,0.514423077
JURONG WEST,0.259615385
TENGAH,0
ORCHARD,1
CHOA CHU KANG,0.081730769
SIMPANG,0.004807692
CLEMENTI,0.408653846
PAYA LEBAR,0.182692308
WOODLANDS,0.201923077
SENGKANG,0.158653846
YISHUN,0.158653846
SINGAPORE RIVER,0.052884615
QUEENSTOWN,0.432692308
NORTH-EASTERN ISLANDS,0
BUKIT PANJANG,0.033653846
TANGLIN,0.153846154
GEYLANG,0.509615385
PUNGGOL,0.0625
BUKIT TIMAH,0.461538462
TUAS,0.028846154
LIM CHU KANG,0
WESTERN ISLANDS,0
TAMPINES,0.168269231
SELETAR,0.072115385
SUNGEI KADUT,0
BUKIT BATOK,0.149038462
MUSEUM,0.014423077
RIVER VALLEY,0.774038462
CHANGI BAY,0
SOUTHERN ISLANDS,0
CENTRAL WATER CATCHMENT,0
NEWTON,0.379807692
MARINE PARADE,0.120192308
DOWNTOWN CORE,0.004807692
KALLANG,0.423076923
BISHAN,0.302884615
TOA PAYOH,0.4375
HOUGANG,0.456730769
SERANGOON,0.644230769
BEDOK,0.620192308
ROCHOR,0.019230769
MARINA EAST,0.096153846
NOVENA,0.125
